Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1000/Decimal Word256 15//,1.973950246198584e-4,1.9635771419582987e-4,1.9869622630564688e-4,3.982876373810694e-6,3.1328677776545862e-6,5.590875481486134e-6
1000/Decimal Word256 15/abs,1.6181454897345236e-5,1.6058501321395222e-5,1.6334020209490433e-5,4.589996720922983e-7,3.6875678350430775e-7,6.22544913517501e-7
1000/Decimal Word256 15/signum,1.361736082814435e-5,1.3592336056053105e-5,1.3651448701549474e-5,1.0109099923081796e-7,7.528873063066592e-8,1.6779268997672723e-7
1000/Decimal Word256 15/fromRational,1.3636852332949499e-3,1.358636192363396e-3,1.368740043471006e-3,1.766298850087216e-5,1.5036039034455831e-5,2.1558154093586872e-5
1000/Decimal Word256 15/toRational,1.185190157773803e-4,1.1800089100304586e-4,1.1905213931171802e-4,1.8533869002430987e-6,1.4689606180971681e-6,2.423834554872041e-6
1000/Decimal Word256 15/show,3.700436851174382e-4,3.686756140700114e-4,3.711896023699208e-4,4.0381240423494275e-6,3.4621202355745023e-6,4.846216825061976e-6
1000/Decimal Word256 15/read,2.690405094266001e-3,2.6817934690391895e-3,2.708410327159364e-3,3.845180139644135e-5,2.1874307243361613e-5,6.553673170558157e-5
1000/DecimalRaw Integer/+,1.1874984190843999e-4,1.1792180004364755e-4,1.1933140344538538e-4,2.3842901822516623e-6,1.9046523085569546e-6,2.9207594840983554e-6
1000/DecimalRaw Integer/-,1.2786824761158142e-4,1.2713045752814274e-4,1.283422721842208e-4,2.059118353845557e-6,1.493702633708347e-6,2.7769047838050613e-6
1000/DecimalRaw Integer/*,6.611588263577489e-2,6.601288268398496e-2,6.621463612258977e-2,1.770753939339214e-4,1.384897804247683e-4,2.2593309324096393e-4
1000/DecimalRaw Integer//,6.89840525698572e-2,6.882749999409768e-2,6.928347729437484e-2,3.735102548569309e-4,1.285318716706516e-4,4.999359085699347e-4
1000/DecimalRaw Integer/abs,1.6047407796976167e-5,1.5945106295527475e-5,1.616336385984104e-5,3.767064393842746e-7,3.0230982306025523e-7,4.916058977742335e-7
1000/DecimalRaw Integer/signum,1.3746182221626755e-5,1.367660101757849e-5,1.3893023277469593e-5,3.1789369265742324e-7,1.8388753729191815e-7,4.7408104501135654e-7
1000/DecimalRaw Integer/fromRational,4.103626678258787e-2,4.0990363947091095e-2,4.1085906475226315e-2,1.028134953075379e-4,8.119453452995907e-5,1.316131492381337e-4
1000/DecimalRaw Integer/toRational,2.7995142013745186e-4,2.7843734014139246e-4,2.818363999819244e-4,5.65191885658657e-6,4.651726963020236e-6,6.977961671996853e-6
1000/DecimalRaw Integer/show,2.1132929981102698e-4,2.104301507879679e-4,2.123474920959834e-4,3.3387165575751414e-6,2.7227478214364027e-6,4.223637151560959e-6
1000/DecimalRaw Integer/read,8.339207393920349e-4,8.290973413057626e-4,8.381977900190976e-4,1.5223489784952841e-5,1.2520009613714039e-5,1.8994534557824466e-5
